,pmid,title,abstract,disease_answer,disease_score,sample_answer,sample_score,question_answer,question_score,modality_answer,modality_score,country_answer,country_score,hospital_answer,hospital_score,database_answer,database_score,organisation_answer,organisation_score
21,35310201,MRI Brain Tumor Image Classification Using a Combined Feature and Image-Based Classifier.,"Brain tumor classification plays a niche role in medical prognosis and effective treatment process. We have proposed a combined feature and image-based classifier (CFIC) for brain tumor image classification in this study. Carious deep neural network and deep convolutional neural networks (DCNN)-based architectures are proposed for image classification, namely, actual image feature-based classifier (AIFC), segmented image feature-based classifier (SIFC), actual and segmented image feature-based classifier (ASIFC), actual image-based classifier (AIC), segmented image-based classifier (<i>SIC</i>), actual and segmented image-based classifier (ASIC), and finally, CFIC. The Kaggle Brain Tumor Detection 2020 dataset has been used to train and test the proposed classifiers. Among the various classifiers proposed, the CFIC performs better than all other proposed methods. The proposed CFIC method gives significantly better results in terms of sensitivity, specificity, and accuracy with 98.86, 97.14, and 98.97%, respectively, compared with the existing classification methods.",'Brain tumor',0.615662068,'Kaggle Brain Tumor Detection 2020',0.034584015,'Brain tumor classification plays a niche role in medical prognosis and effective treatment process',0.412464783,'brain tumor image',0.273643695,'Kaggle Brain Tumor Detection 2020',0.009235172,'Kaggle Brain Tumor Detection 2020',0.022312356,'Kaggle Brain Tumor Detection 2020',0.58867383,'Kaggle Brain Tumor Detection 2020',0.58867383
22,35310011,CHS-Net: A Deep Learning Approach for Hierarchical Segmentation of COVID-19 via CT Images.,"The pandemic of novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) also known as COVID-19 has been spreading worldwide, causing rampant loss of lives. Medical imaging such as computed tomography (CT), X-ray, etc., plays a significant role in diagnosing the patients by presenting the visual representation of the functioning of the organs. However, for any radiologist analyzing such scans is a tedious and time-consuming task. The emerging deep learning technologies have displayed its strength in analyzing such scans to aid in the faster diagnosis of the diseases and viruses such as COVID-19. In the present article, an automated deep learning based model, COVID-19 hierarchical segmentation network (CHS-Net) is proposed that functions as a semantic hierarchical segmenter to identify the COVID-19 infected regions from lungs contour via CT medical imaging using two cascaded residual attention inception U-Net (RAIU-Net) models. RAIU-Net comprises of a residual inception U-Net model with spectral spatial and depth attention network (SSD) that is developed with the contraction and expansion phases of depthwise separable convolutions and hybrid pooling (max and spectral pooling) to efficiently encode and decode the semantic and varying resolution information. The CHS-Net is trained with the segmentation loss function that is the defined as the average of binary cross entropy loss and dice loss to penalize false negative and false positive predictions. The approach is compared with the recently proposed approaches and evaluated using the standard metrics like accuracy, precision, specificity, recall, dice coefficient and Jaccard similarity along with the visualized interpretation of the model prediction with GradCam++ and uncertainty maps. With extensive trials, it is observed that the proposed approach outperformed the recently proposed approaches and effectively segments the COVID-19 infected regions in the lungs.",'COVID-19',0.411657438,'two cascaded residual attention inception U-Net (RAIU-Net) models',0.005653041,'identify the COVID-19 infected regions from lungs contour via CT medical imaging',0.19273825,'CT medical imaging',0.761763155,'worldwide',0.006838002,'CT medical imaging',0.000518786,'CT medical imaging',0.040625557,'CT medical imaging',0.040625557
23,35309200,Early-Stage Alzheimer's Disease Prediction Using Machine Learning Models.,"Alzheimer's disease (AD) is the leading cause of dementia in older adults. There is currently a lot of interest in applying machine learning to find out metabolic diseases like Alzheimer's and Diabetes that affect a large population of people around the world. Their incidence rates are increasing at an alarming rate every year. In Alzheimer's disease, the brain is affected by neurodegenerative changes. As our aging population increases, more and more individuals, their families, and healthcare will experience diseases that affect memory and functioning. These effects will be profound on the social, financial, and economic fronts. In its early stages, Alzheimer's disease is hard to predict. A treatment given at an early stage of AD is more effective, and it causes fewer minor damage than a treatment done at a later stage. Several techniques such as Decision Tree, Random Forest, Support Vector Machine, Gradient Boosting, and Voting classifiers have been employed to identify the best parameters for Alzheimer's disease prediction. Predictions of Alzheimer's disease are based on Open Access Series of Imaging Studies (OASIS) data, and performance is measured with parameters like Precision, Recall, Accuracy, and F1-score for ML models. The proposed classification scheme can be used by clinicians to make diagnoses of these diseases. It is highly beneficial to lower annual mortality rates of Alzheimer's disease in early diagnosis with these ML algorithms. The proposed work shows better results with the best validation average accuracy of 83% on the test data of AD. This test accuracy score is significantly higher in comparison with existing works.",'Alzheimer's disease',0.450084686,'Open Access Series of Imaging Studies',0.009562194,"'Alzheimer's disease (AD) is the leading cause of dementia in older adults. There is currently a lot of interest in applying machine learning to find out metabolic diseases like Alzheimer's and Diabetes that affect a large population of people around the world. Their incidence rates are increasing at an alarming rate every year. In Alzheimer's disease, the brain is affected by neurodegenerative changes. As our aging population increases, more and more individuals, their families, and healthcare will experience diseases that affect memory and functioning'",0.058461171,'Open Access Series of Imaging Studies',0.521123603,'around the world',0.001818446,'Open Access Series of Imaging Studies (OASIS) data',0.000185331,'Open Access Series of Imaging Studies (OASIS)',0.503261641,'Open Access Series of Imaging Studies (OASIS)',0.503261641
24,35306830,Predicting New-Onset Psychiatric Disorders Throughout the COVID-19 Pandemic: A Machine Learning Approach.,"The investigators estimated new-onset psychiatric disorders (PsyDs) throughout the COVID-19 pandemic in Italian adults without preexisting PsyDs and developed a machine learning (ML) model predictive of at least one new-onset PsyD in subsequent independent samples.Data were from the first (May 18-June 20, 2020) and second (September 15-October 20, 2020) waves of an ongoing longitudinal study, based on a self-reported online survey. Provisional diagnoses of PsyDs (PPsyDs) were assessed via DSM-based screening tools to maximize assessment specificity. Gradient-boosted decision trees as an ML modeling technique and the SHapley Additive exPlanations technique were applied to identify each variable's contribution to the model.From the original sample of 3,532 participants, the final sample included 500 participants in the first wave and 236 in the second. Some 16.0% of first-wave participants and 18.6% of second-wave participants met criteria for at least one new-onset PPsyD. The final best ML predictive model, trained on the first wave, displayed a sensitivity of 70% and a specificity of 73% when tested on the second wave. The following variables made the largest contributions: low resilience, being an undergraduate student, and being stressed by pandemic-related conditions. Living alone and having ceased physical activity contributed to a lesser extent.Substantial rates of new-onset PPsyDs emerged among Italians throughout the pandemic, and the ML model exhibited moderate predictive performance. Results highlight modifiable vulnerability factors that are suitable for targeting by public campaigns or interventions to mitigate the pandemic's detrimental effects on mental health.",'COVID-19 pandemic',0.39894487,"'3,532 participants, the final sample included 500 participants in the first wave and 236 in the second'",0.248883575,"'Data were from the first (May 18-June 20, 2020) and second (September 15-October 20, 2020) waves of an ongoing longitudinal study, based on a self-reported online survey'",0.197027639,'self-reported online survey',0.640579611,'Italian',0.592859626,"'the first (May 18-June 20, 2020) and second (September 15-October 20, 2020) waves of an ongoing longitudinal study'",0.00297664,'a self-reported online survey',0.364160582,'a self-reported online survey',0.364160582
25,35305690,The differential diagnosis of IgG4-related disease based on machine learning.,"To eliminate the disparity and maldistribution of physicians and medical specialty services, the development of diagnostic support for rare diseases using artificial intelligence is being promoted. Immunoglobulin G4 (IgG4)-related disease (IgG4-RD) is a rare disorder often requiring special knowledge and experience to diagnose. In this study, we investigated the possibility of differential diagnosis of IgG4-RD based on basic patient characteristics and blood test findings using machine learning.Six hundred and two patients with IgG4-RD and 204 patients with non-IgG4-RD that needed to be differentiated who visited the participating institutions were included in the study. Ten percent of the subjects were randomly excluded as a validation sample. Among the remaining cases, 80% were used as training samples, and the remaining 20% were used as test samples. Finally, validation was performed on the validation sample. The analysis was performed using a decision tree and a random forest model. Furthermore, a comparison was made between conditions with and without the serum IgG4 concentration. Accuracy was evaluated using the area under the receiver-operating characteristic (AUROC) curve.In diagnosing IgG4-RD, the AUROC curve values of the decision tree and the random forest method were 0.906 and 0.974, respectively, when serum IgG4 levels were included in the analysis. Excluding serum IgG4 levels, the AUROC curve value of the analysis by the random forest method was 0.925.Based on machine learning in a multicenter collaboration, with or without serum IgG4 data, basic patient characteristics and blood test findings alone were sufficient to differentiate IgG4-RD from non-IgG4-RD.",'Immunoglobulin G4 (IgG4)-related disease',0.415532216,'Six hundred and two',0.798674911,'differential diagnosis of IgG4-RD based on basic patient characteristics and blood test findings',0.215170756,'basic patient characteristics and blood test findings',0.449588209,'Six hundred and two patients with IgG4-RD and 204 patients with non-IgG4-RD that needed to be differentiated who visited the participating institutions',0.001599159,'Six hundred and two patients with IgG4-RD and 204 patients with non-IgG4-RD that needed to be differentiated who visited the participating institutions',0.007740015,'Six hundred and two patients with IgG4-RD and 204 patients with non-IgG4-RD that needed to be differentiated who visited the participating institutions',0.046994509,'Six hundred and two patients with IgG4-RD and 204 patients with non-IgG4-RD that needed to be differentiated who visited the participating institutions',0.046994509
26,35306044,Detecting and predicting visually induced motion sickness with physiological measures in combination with machine learning techniques.,"Visually induced motion sickness (VIMS) is a common sensation when using visual displays such as smartphones or Virtual Reality. In the present study, we investigated whether Machine Learning (ML) techniques in combination with physiological measures (ECG, EDA, EGG, respiration, body and skin temperature, and body movements) could be used to detect and predict the severity of VIMS in real-time, minute-by-minute. A total of 43 healthy younger adults (25 female) were exposed to a 15-minute VIMS-inducing video. VIMS severity was subjectively measured during the video using the Fast Motion Sickness Scale (FMS) as well as before and after the video using the Simulator Sickness Questionnaire (SSQ). Thirty-one participants (72%) experienced VIMS in the present study. Results showed that changes in facial skin temperature and body movement had the strongest relationship with VIMS. On a minute-by-minute basis, ML models revealed a medium correlation between the physiological measures and the FMS scores. An acceptable classification score distinguishing between sick and non-sick participants was found. Our findings suggest that physiological measures may be useful for measuring VIMS, but that they are not a reliable standalone method to detect or predict VIMS severity in real time.",'Visually induced motion sickness',0.56920439,'43',0.211434364,"'Visually induced motion sickness (VIMS) is a common sensation when using visual displays such as smartphones or Virtual Reality. In the present study, we investigated whether Machine Learning (ML) techniques in combination with physiological measures (ECG, EDA, EGG, respiration, body and skin temperature, and body movements) could be used to detect and predict the severity of VIMS in real-time, minute-by-minute'",0.123727344,'physiological measures',0.572357714,"'In the present study, we investigated whether Machine Learning (ML) techniques in combination with physiological measures (ECG, EDA, EGG, respiration, body and skin temperature, and body movements) could be used to detect and predict the severity of VIMS in real-time, minute-by-minute.'",0.001155167,'43',0.002138667,'Simulator Sickness Questionnaire (SSQ)',0.163453795,'Simulator Sickness Questionnaire (SSQ)',0.163453795
27,35306382,Assessment of a novel deep learning-based marker-less motion capture system for gait study.,"Marker-less systems based on digital video cameras and deep learning for gait analysis could have a deep impact in clinical routine. A recently developed system has shown promising results in terms of joint center position but has not been yet evaluated in terms of gait outcomes.How does this novel marker-less system compare to a marker-based reference system in terms of clinically relevant gait parameters?The deep learning method behind the developed marker-less system was trained on a dedicated dataset consisting of forty-one asymptomatic and pathological subjects each performing ten walking trials. The system could estimate the three-dimensional position of seventeen joint centers or keypoints (e.g., neck, shoulders, hip, knee, and ankles). We evaluated the marker-less system against a marker-based system in terms of differences in joint position (Euclidean distance), detection of gait events (e.g., heel strike and toe-off), spatiotemporal parameters (e.g., step length, time), kinematic parameters (e.g., hip and knee extension-flexion), and inter-trial reliability for kinematic parameters.The marker-less system was able to estimate the three-dimensional position of joint centers with a mean difference of 13.1 mm (SD = 10.2 mm). 99% of the estimated gait events were estimated within 10 ms of the corresponding reference values. Estimated spatiotemporal parameters showed zero bias. The mean and standard deviation of the differences of the estimated kinematic parameters varied by parameter (for example, the mean and standard deviation for knee extension flexion angle were -3.0° and 2.7°). Inter-trial reliability of the measured parameters was similar to that of the marker-based references.The developed marker-less system can measure the spatiotemporal parameters within the range of the minimum detectable changes obtained using the marker-based reference system. Moreover, except for hip extension flexion, the system showed promising results in terms of several kinematic parameters.",'pathological',0.089313176,'forty-one',0.658772379,'forty-one asymptomatic and pathological subjects each performing ten walking trials',0.158189446,'digital video cameras',0.478800714,'forty-one asymptomatic and pathological subjects each performing ten walking trials',0.000465915,'forty-one asymptomatic and pathological subjects each performing ten walking trials',0.003579344,'forty-one asymptomatic and pathological subjects each performing ten walking trials',0.390540361,'forty-one asymptomatic and pathological subjects each performing ten walking trials',0.390540361
28,35307554,"Dense, deep learning-based intracranial aneurysm detection on TOF MRI using two-stage regularized U-Net.","The prevalence of unruptured intracranial aneurysms in the general population is high and aneurysms are usually asymptomatic. Their diagnosis is often fortuitous on MRI and might be difficult and time consuming for the radiologist. The purpose of this study was to develop a deep learning neural network tool for automated segmentation of intracranial arteries and automated detection of intracranial aneurysms from 3D time-of-flight magnetic resonance angiography (TOF-MRA).3D TOF-MRA with aneurysms were retrospectively extracted. All were confirmed with angiography. The data were divided into two sets: a training set of 24 examinations and a test set of 25 examinations. Manual annotations of intracranial blood vessels and aneurysms were performed by neuroradiologists. A double convolutional neuronal network based on the U-Net architecture with regularization was used to increase performance despite a small amount of training data. The performance was evaluated for the test set. Subgroup analyses according to size and location of aneurysms were performed.The average processing time was 15 minutes. Overall, the sensitivity and the positive predictive value of the proposed algorithm were 78% (21 of 27; 95% CI: 62-94) and 62% (21 of 34; 95%CI: 46-78) respectively, with 0.5 FP/case. Despite gradual improvement in sensitivity regarding aneurysm size, there was no significant difference of sensitivity detection between subgroups of size and location.This developed tool based on a double CNN with regularization trained with small dataset, enables accurate intracranial arteries segmentation as well as effective aneurysm detection on 3D TOF MRA.",'intracranial aneurysms',0.200207002,'25 examinations',0.258640401,'to develop a deep learning neural network tool for automated segmentation of intracranial arteries and automated detection of intracranial aneurysms from 3D time-of-flight magnetic resonance angiography (TOF-MRA)',0.385691583,'3D time-of-flight magnetic resonance angiography',0.488425404,'a training set of 24 examinations and a test set of 25 examinations',0.000777622,'a training set of 24 examinations and a test set of 25 examinations',0.00232168,'3D time-of-flight magnetic resonance angiography (TOF-MRA)',0.253183201,'3D time-of-flight magnetic resonance angiography (TOF-MRA)',0.253183201
29,35308093,Cross-Camera External Validation for Artificial Intelligence Software in Diagnosis of Diabetic Retinopathy.,"To investigate the applicability of deep learning image assessment software VeriSee DR to different color fundus cameras for the screening of diabetic retinopathy (DR).Color fundus images of diabetes patients taken with three different nonmydriatic fundus cameras, including 477 Topcon TRC-NW400, 459 Topcon TRC-NW8 series, and 471 Kowa nonmyd 8 series that were judged as ""gradable"" by one ophthalmologist were enrolled for validation. VeriSee DR was then used for the diagnosis of referable DR according to the International Clinical Diabetic Retinopathy Disease Severity Scale. Gradability, sensitivity, and specificity were calculated for each camera model.All images (100%) from the three camera models were gradable for VeriSee DR. The sensitivity for diagnosing referable DR in the TRC-NW400, TRC-NW8, and non-myd 8 series was 89.3%, 94.6%, and 95.7%, respectively, while the specificity was 94.2%, 90.4%, and 89.3%, respectively. Neither the sensitivity nor the specificity differed significantly between these camera models and the original camera model used for VeriSee DR development (<i>p</i> = 0.40, <i>p</i> = 0.065, respectively).VeriSee DR was applicable to a variety of color fundus cameras with 100% agreement with ophthalmologists in terms of gradability and good sensitivity and specificity for the diagnosis of referable DR.",'diabetic retinopathy (DR)',0.425928563,'three',0.127188034,'To investigate the applicability of deep learning image assessment software VeriSee DR to different color fundus cameras for the screening of diabetic retinopathy (DR)',0.151135845,'Color fundus images',0.13395758,'diabetes',0.000407005,'diabetes patients',0.000265064,'International Clinical Diabetic Retinopathy Disease Severity Scale',0.045593603,'International Clinical Diabetic Retinopathy Disease Severity Scale',0.045593603
30,35306784,Multivariable Diagnostic Prediction Model to Detect Hormone Secretion Profile From T2W MRI Radiomics with Artificial Neural Networks in Pituitary Adenomas.,"This study aims to develop neural networks to detect hormone secretion profiles in the pituitary adenomas based on T2 weighted magnetic resonance imaging (MRI) radiomics.This retrospective model-development study included a cohort of patients with pituitary adenomas (n=130) from January 2015 to January 2020 in one tertiary center. The mean age was 46.49±13.69 years, and 76/130 (58.46%) were women. Three observers segmented lesions on coronal T2 weighted MRI, and an interrater agreement was evaluated using the Dice coefficient. Predictors were determined as radiomics features (n=851). Feature selection was based on intraclass correlation coefficient, coefficient variance, variance inflation factor, and LASSO regression analysis. Outcomes were identified as 7 hormone secretion profiles [non-functioning pituitary adenoma, growth hormone-secreting adenomas, prolactinomas, adrenocorticotropic hormone-secreting adenomas, pluri-hormonal secreting adenomas (PHA), follicle-stimulating hormone and luteinizing hormone-secreting adenomas, and thyroid-stimulating hormone adenomas]. A multivariable diagnostic prediction model was developed with artificial neural networks (ANN) for 7 outcomes. ANN performance was presented as an area under the receiver operating characteristic curve (AUC) and accepted as successful if the AUC was >0.85 and p-value was <0.01.The performance of the ANN distinguishing prolactinomas from other adenomas was validated (AUC=0.95, p<0.001, sensitivity: 91%, and specificity: 98%). The model distinguishing PHA had the lowest AUC (AUC=0.74 and p<0.001). The AUC values for the other five ANN were >0.85 and p values were <0.001.This study was successful in training neural networks that could differentiate the hormone secretion profile of pituitary adenomas.",'pituitary adenomas',0.447648168,'130',0.525792018,'develop neural networks to detect hormone secretion profiles in the pituitary adenomas',0.385223135,'radiomics',0.524660125,'one tertiary center',0.01205426,'one tertiary center',0.304558486,'one tertiary center',0.301432014,'one tertiary center',0.301432014
31,35310449,COVIR: A virtual rendering of a novel NN architecture O-Net for COVID-19 Ct-scan automatic lung lesions segmentation.,"With the Coronavirus disease 2019 (COVID-19) spread, causing a world pandemic, and recently, the virus new variants continue to appear, making the situation more challenging and threatening, the visual assessment and quantification by expert radiologists have become costly and error-prone. Hence, there is a need to propose a model to predict the COVID-19 cases at the earliest possible to control the disease spread. In order to assist the medical professionals and reduce workload and the time the COVID-19 diagnosis cycle takes, this paper proposes a novel neural network architecture termed as O-Net to automatically segment chest Computerised Tomography Ct-scans infected by COVID-19 with optimised computing power and memory occupation. The O-Net consists of two convolutional autoencoders with an upsampling channel and a downsampling channel. Experimental tests show our proposal's effectiveness and potential, with a dice score of 0.86, pixel accuracy, precision, specificity of 0.99, 0.99, 0.98, respectively. Performance on the external dataset illustrates generalisation and scalability capabilities of the O-Net model to Ct-scan obtained from different scanners with different sizes. The second objective of this work is to introduce our virtual reality platform, COVIR, that visualises and manipulates 3D reconstructed lungs and segmented infected lesions caused by COVID-19. COVIR platform acts as a reading and visualisation support for medical practitioners to diagnose COVID-19 lung infection. The COVIR platform could be used for medical education professional practice and training. It was tested by Thirteen participants (medical staff, researchers, and collaborators), they conclude that the 3D VR visualisation of segmented Ct-Scan provides an aid diagnosis tool for better interpretation.",'Coronavirus disease 2019',0.365269586,'Thirteen',0.008746971,'automatically segment chest Computerised Tomography Ct-scans',0.071478385,'chest Computerised Tomography Ct-scans',0.546649128,'world',0.000390321,'external dataset',0.000143151,'external dataset',0.024783851,'external dataset',0.024783851
32,35308891,Abilities and Disabilities-Applying Machine Learning to Disentangle the Role of Intelligence in Diagnosing Autism Spectrum Disorders.,"Although autism spectrum disorder (ASD) is a relatively common, well-known but heterogeneous neuropsychiatric disorder, specific knowledge about characteristics of this heterogeneity is scarce. There is consensus that IQ contributes to this heterogeneity as well as complicates diagnostics and treatment planning. In this study, we assessed the accuracy of the Autism Diagnostic Observation Schedule (ADOS/2) in the whole and IQ-defined subsamples, and analyzed if the ADOS/2 accuracy may be increased by the application of machine learning (ML) algorithms that processed additional information including the IQ level.The study included 1,084 individuals: 440 individuals with ASD (with a mean IQ level of 3.3 ± 1.5) and 644 individuals without ASD (with a mean IQ level of 3.2 ± 1.2). We applied and analyzed Random Forest (RF) and Decision Tree (DT) to the ADOS/2 data, compared their accuracy to ADOS/2 cutoff algorithms, and examined most relevant items to distinguish between ASD and Non-ASD. In sum, we included 49 individual features, independently of the applied ADOS module.In DT analyses, we observed that for the decision ASD/Non-ASD, solely one to four items are sufficient to differentiate between groups with high accuracy. In addition, in sub-cohorts of individuals with (a) below (IQ level ≥4)/ID and (b) above average intelligence (IQ level ≤ 2), the ADOS/2 cutoff showed reduced accuracy. This reduced accuracy results in (a) a three times higher risk of false-positive diagnoses or (b) a 1.7 higher risk for false-negative diagnoses; both errors could be significantly decreased by the application of the alternative ML algorithms.Using ML algorithms showed that a small set of ADOS/2 items could help clinicians to more accurately detect ASD in clinical practice across all IQ levels and to increase diagnostic accuracy especially in individuals with below and above average IQ level.",'autism spectrum disorder (ASD)',0.435204148,"'1,084'",0.718648911,'assessed the accuracy of the Autism Diagnostic Observation Schedule (ADOS/2) in the whole and IQ-defined subsamples',0.219244082,'ADOS/2',0.264333941,"'The study included 1,084 individuals'",0.002729315,"'1,084 individuals: 440 individuals with ASD (with a mean IQ level of 3.3 ± 1.5) and 644 individuals without ASD (with a mean IQ level of 3.2 ± 1.2). We applied and analyzed Random Forest (RF) and Decision Tree (DT) to the ADOS/2 data'",0.00047489,'Autism Diagnostic Observation Schedule (ADOS/2)',0.150075048,'Autism Diagnostic Observation Schedule (ADOS/2)',0.150075048
33,35308965,Practical Perfusion Quantification in Multispectral Endoscopic Video: Using the Minutes after ICG Administration to Assess Tissue Pathology.,"The wide availability of near infrared light sources in interventional medical imaging stacks enables non-invasive quantification of perfusion by using fluorescent dyes, typically Indocyanine Green (ICG). Due to their often leaky and chaotic vasculatures, intravenously administered ICG perfuses through cancerous tissues differently. We investigate here how a few characteristic values derived from the time series of fluorescence can be used in simple machine learning algorithms to distinguish benign lesions from cancers. These features capture the initial uptake of ICG in the colon, its peak fluorescence, and its early wash-out. By using simple, explainable algorithms we demonstrate, in clinical cases, that sensitivity (specificity) rates of over 95% (95%) for cancer classification can be achieved.",'cancers',0.288395435,'a few characteristic values derived from the time series of fluorescence can be used in simple machine learning algorithms to distinguish benign lesions from cancers',0.016001847,'distinguish benign lesions from cancers',0.3035978,'fluorescence',0.482352525,'benign lesions from cancers',0.000109375,'fluorescence',0.000439137,'interventional medical imaging stacks',0.060774164,'interventional medical imaging stacks',0.060774164
34,35308971,On Predicting Recurrence in Early Stage Non-small Cell Lung Cancer.,"Early detection and mitigation of disease recurrence in non-small cell lung cancer (NSCLC) patients is a nontrivial problem that is typically addressed either by rather generic follow-up screening guidelines, self-reporting, simple nomograms, or by models that predict relapse risk in individual patients using statistical analysis of retrospective data. We posit that machine learning models trained on patient data can provide an alternative approach that allows for more efficient development of many complementary models at once, superior accuracy, less dependency on the data collection protocols and increased support for explainability of the predictions. In this preliminary study, we describe an experimental suite of various machine learning models applied on a patient cohort of 2442 early stage NSCLC patients. We discuss the promising results achieved, as well as the lessons we learned while developing this baseline for further, more advanced studies in this area.",'non-small cell lung cancer',0.490829855,'2442',0.876550168,'Early detection and mitigation of disease recurrence',0.388501063,'retrospective data. We posit that machine learning models trained on patient data',0.217682004,'2442 early stage NSCLC patients',0.000414225,'2442 early stage NSCLC patients',0.000751485,'2442 early stage NSCLC patients',0.173801757,'2442 early stage NSCLC patients',0.173801757
35,35306294,Cardiac age detected by machine learning applied to the surface ECG of healthy subjects: Creation of a benchmark.,"The aim of the present study was to develop a neural network to characterize the effect of aging on the ECG in healthy volunteers. Moreover, the impact of the various ECG features on aging was evaluated.A total of 6228 healthy subjects without structural heart disease were included in this study. A neural network regression model was created to predict age of the subjects based on their ECG; 577 parameters derived from a 12‑lead ECG of each subject were used to develop and validate the neural network; A tenfold cross-validation was performed, using 118 subjects for validation each fold. Using SHapley Additive exPlanations values the impact of the individual features on the prediction of age was determined. Of 6228 subjects tested, 1808 (29%) were females and mean age was 34 years, range 18-75 years. Physiologic age was estimated as a continuous variable with an average error of 6.9 ± 5.6 years (R<sup>2</sup> = 0.72 ± 0.04). The correlation was slightly stronger for men (R<sup>2</sup> = 0.74) than for women (R<sup>2</sup> = 0.66). The most important features on the prediction of physiologic age were T wave morphology indices in leads V4 and V5, and P wave amplitude in leads AVR and II.The application of machine learning to the ECG using a neural network regression model, allows accurate estimation of physiologic cardiac age. This technique could be used to pick up subtle age-related cardiac changes, but also estimate the reversing of these age-associated effects by administered treatments.",'structural heart disease',0.442931324,'6228',0.654967904,'to develop a neural network to characterize the effect of aging on the ECG in healthy volunteers',0.594780862,'ECG',0.550979227,"'The aim of the present study was to develop a neural network to characterize the effect of aging on the ECG in healthy volunteers. Moreover, the impact of the various ECG features on aging'",0.001370583,'577 parameters derived from a 12‑lead ECG',0.003070573,'12‑lead ECG of each subject',0.178183563,'12‑lead ECG of each subject',0.178183563
36,35310199,Optimal Deep Learning Enabled Prostate Cancer Detection Using Microarray Gene Expression.,"Prostate cancer is the main cause of death over the globe. Earlier detection and classification of cancer is highly important to improve patient health. Previous studies utilized statistical and machine learning (ML) techniques for prostate cancer detection. However, several challenges that exist in the investigation process are the existence of high dimensionality data and less number of training samples. Metaheuristic algorithms can be used to resolve the curse of dimensionality and improve the detection rate of artificial intelligence (AI) techniques. With this motivation, this article develops an artificial intelligence based feature selection with deep learning model for prostate cancer detection (AIFSDL-PCD) using microarray gene expression data. The AIFSDL-PCD technique involves preprocessing to enhance the input data quality. In addition, a chaotic invasive weed optimization (CIWO) based feature selection (FS) technique for choosing an optimal subset of features shows the novelty of the work. Moreover, the deep neural network (DNN) model can be applied as a classification model to detect the existence of prostate cancer in the microarray gene expression data. Furthermore, the hyperparameters of the DNN model can be effectively adjusted by the use of RMSprop optimizer. The design of CIWO based FS technique helps for reducing the computational complexity and improve the classification accuracy. The experimental results highlighted the betterment of the AIFSDL-PCD approach on the other techniques with respect to distinct measures.",'Prostate cancer',0.660163492,'less number of training samples',0.126823265,'artificial intelligence based feature selection with deep learning model for prostate cancer detection (AIFSDL-PCD) using microarray gene expression data',0.204576798,'microarray gene expression data',0.654313087,'Prostate cancer is the main cause of death over the globe',0.003111803,'microarray gene expression data',0.003416563,'microarray gene expression data',0.245286115,'microarray gene expression data',0.245286115
37,35309201,COVID-19 Identification System Using Transfer Learning Technique With Mobile-NetV2 and Chest X-Ray Images.,"Diagnosis is a crucial precautionary step in research studies of the coronavirus disease, which shows indications similar to those of various pneumonia types. The COVID-19 pandemic has caused a significant outbreak in more than 150 nations and has significantly affected the wellness and lives of many individuals globally. Particularly, discovering the patients infected with COVID-19 early and providing them with treatment is an important way of fighting the pandemic. Radiography and radiology could be the fastest techniques for recognizing infected individuals. Artificial intelligence strategies have the potential to overcome this difficulty. Particularly, transfer learning MobileNetV2 is a convolutional neural network architecture that can perform well on mobile devices. In this study, we used MobileNetV2 with transfer learning and augmentation data techniques as a classifier to recognize the coronavirus disease. Two datasets were used: the first consisted of 309 chest X-ray images (102 with COVID-19 and 207 were normal), and the second consisted of 516 chest X-ray images (102 with COVID-19 and 414 were normal). We assessed the model based on its sensitivity rate, specificity rate, confusion matrix, and F1-measure. Additionally, we present a receiver operating characteristic curve. The numerical simulation reveals that the model accuracy is 95.8% and 100% at dropouts of 0.3 and 0.4, respectively. The model was implemented using Keras and Python programming.",'coronavirus disease',0.628254354,"'Two datasets were used: the first consisted of 309 chest X-ray images (102 with COVID-19 and 207 were normal), and the second consisted of 516'",0.117229819,'Diagnosis is a crucial precautionary step',0.254267402,'chest X-ray images',0.242777094,'globally',0.002035799,'309 chest X-ray images',0.001269519,'MobileNetV2',0.074081598,'MobileNetV2',0.074081598
